Name                                          ,State       ,Host                         ,Guest OS                                        ,IP Address                                                                                                                                                                                                                                                                                                                                                              ,DNS Name
bdmx9901v,Powered On,p2pucsgenhyp030.ncsecu.local,Red Hat Enterprise Linux 6 (64-bit),"172.24.49.74, fe80::250:56ff:feb6:b796",BDMX9901V.NCSECU.LOCAL
cadf0701v,Powered On,p1pucsgenhyp016.ncsecu.local,Microsoft Windows Server 2012 (64-bit),172.22.122.101,cadf0701v.ncsecu.local
ccor0701v,Powered On,p1pucsgenhyp053.ncsecu.local,Microsoft Windows Server 2008 R2 (64-bit),172.22.39.28,CCOR0701.cor-prod.local
ccor0702v,Powered On,p1pucsgenhyp032.ncsecu.local,Microsoft Windows Server 2008 R2 (64-bit),172.22.39.29,CCOR0702.cor-prod.local
ccor0703v,Powered On,p1pucsgenhyp032.ncsecu.local,Microsoft Windows Server 2008 R2 (64-bit),172.22.39.30,CCOR0703.cor-prod.local
ccor0704v,Powered On,p1pucsgenhyp065.ncsecu.local,Microsoft Windows Server 2008 R2 (64-bit),172.22.39.31,CCOR0704.cor-prod.local
ccor0705v,Powered On,p1pucsgenhyp023.ncsecu.local,Microsoft Windows Server 2008 R2 (64-bit),172.22.39.32,CCOR0705.cor-prod.local
ccor0706v,Powered On,p1pucsgenhyp040.ncsecu.local,Microsoft Windows Server 2008 R2 (64-bit),172.22.39.33,CCOR0706.cor-prod.local
ccor0707v,Powered On,p1pucsgenhyp024.ncsecu.local,Microsoft Windows Server 2008 R2 (64-bit),172.22.39.34,CCOR0707.cor-prod.local
ccor0708v,Powered On,p1pucsgenhyp067.ncsecu.local,Microsoft Windows Server 2008 R2 (64-bit),172.22.39.35,CCOR0708.cor-prod.local
ccor0709v,Powered On,p1pucsgenhyp066.ncsecu.local,Microsoft Windows Server 2008 R2 (64-bit),172.22.39.36,CCOR0709.cor-prod.local
ccor0710v,Powered On,p1pucsgenhyp060.ncsecu.local,Microsoft Windows Server 2008 R2 (64-bit),172.22.39.37,CCOR0710.cor-prod.local
ccor0711v,Powered On,p1pucsgenhyp021.ncsecu.local,Microsoft Windows Server 2008 R2 (64-bit),172.22.39.38,CCOR0711.cor-prod.local
ccor0712v,Powered On,p1pucsgenhyp053.ncsecu.local,Microsoft Windows Server 2008 R2 (64-bit),172.22.39.39,CCOR0712.cor-prod.local
conv0703v,Powered On,p1pucsgenhyp020.ncsecu.local,Red Hat Enterprise Linux 6 (64-bit),"172.22.74.81, fe80::f207:4f01:e676:49fd, fe80::250:56ff:fe9b:749",ci-0050569b0749
cpfm0301v,Powered On,p1pucsgenhyp007.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.22.34.138,cpfm0301v.ncsecu.local
cpfm0302v,Powered On,p1pucsgenhyp009.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),"172.22.34.140, fe80::29c4:3dda:54e4:9585",cpfm0302v.ncsecu.local
cpfm0303v,Powered On,p1pucsgenhyp009.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),"172.22.34.141, fe80::5d59:3982:646e:61c4",cpfm0303v.ncsecu.local
cpfm0304v,Powered On,p1pucsgenhyp007.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),"172.22.34.142, 172.22.34.139, fe80::e07c:8f03:1fdb:6535",cpfm0304v.ncsecu.local
cpfm0401v,Powered On,p1pucsgenhyp046.ncsecu.local,Microsoft Windows Server 2012 (64-bit),"172.22.32.46, fe80::c065:f557:5ff8:4abb",cpfm0401v.ncsecu.local
cpfm0402v,Powered On,p1pucsgenhyp045.ncsecu.local,Microsoft Windows Server 2012 (64-bit),"172.22.32.47, fe80::39a1:ba0c:4299:75ae",cpfm0402v.ncsecu.local
cpfm0404v,Powered On,p1pucsgenhyp046.ncsecu.local,Microsoft Windows Server 2012 (64-bit),"172.22.32.48, fe80::f1a0:9786:b8dd:f3fb",cpfm0404v.ncsecu.local
cpfm0405v,Powered On,p1pucsgenhyp001.ncsecu.local,Microsoft Windows Server 2012 (64-bit),"172.22.32.49, fe80::d0e4:c48:36d6:d5a8",cpfm0405v.ncsecu.local
cpfm0406v,Powered On,p1pucsgenhyp046.ncsecu.local,Microsoft Windows Server 2012 (64-bit),"172.22.32.50, fe80::2ca4:b2b6:d34a:9470",cpfm0406v.ncsecu.local
cpfm0701v,Powered On,p1pucsgenhyp001.ncsecu.local,Microsoft Windows Server 2012 (64-bit),"172.22.33.96, fe80::9c67:367:6da9:4969",cpfm0701v.ncsecu.local
cpfm0702v,Powered On,p1pucsgenhyp009.ncsecu.local,Microsoft Windows Server 2012 (64-bit),"172.22.33.97, fe80::c4d6:e98b:aa1c:245e",cpfm0702v.ncsecu.local
cpfm0703v,Powered On,p1pucsgenhyp009.ncsecu.local,Microsoft Windows Server 2012 (64-bit),"172.22.33.98, fe80::58aa:4bb0:f221:12df",cpfm0703v.ncsecu.local
cpfm0704v,Powered On,p1pucsgenhyp001.ncsecu.local,Microsoft Windows Server 2012 (64-bit),"172.22.33.99, fe80::79d8:80b5:60cb:9b03",cpfm0704v.ncsecu.local
cpfm0711v,Powered On,p1pucsgenhyp048.ncsecu.local,Microsoft Windows Server 2012 (64-bit),"172.22.33.100, fe80::6468:d766:4a04:d5b8",cpfm0711v.ncsecu.local
cpfm0712v,Powered On,p1pucsgenhyp046.ncsecu.local,Microsoft Windows Server 2012 (64-bit),"172.22.33.101, fe80::4a4:210a:61fc:ad6b",cpfm0712v.ncsecu.local
cpfm0713v,Powered On,p1pucsgenhyp046.ncsecu.local,Microsoft Windows Server 2012 (64-bit),"172.22.33.102, fe80::e0cf:68fe:96a5:1d37",cpfm0713v.ncsecu.local
cpfm0714v,Powered On,p1pucsgenhyp048.ncsecu.local,Microsoft Windows Server 2012 (64-bit),"172.22.33.103, fe80::f96e:bdfe:fbda:bee0",cpfm0714v.ncsecu.local
ctav9906v,Powered On,p2pucsgenhyp042.ncsecu.local,Microsoft Windows Server 2012 (64-bit),172.24.116.94,ctav9906v.ncsecu.local
ctav9907v,Powered On,p2pucsgenhyp040.ncsecu.local,Microsoft Windows Server 2012 (64-bit),172.24.116.95,ctav9907v.ncsecu.local
ctlr0301v,Powered On,p1pucsgenhyp045.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.22.34.153,CTLR0301V.ncsecu.local
ctlr0302v,Powered On,p1pucsgenhyp048.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),"172.22.34.154, fe80::411:90b0:77ff:ae19",CTLR0302V.ncsecu.local
ctlr0303v,Powered On,p1pucsgenhyp046.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),"172.22.34.155, 172.22.34.167",CTLR0303V.ncsecu.local
ctlr0304v,Powered On,p1pucsgenhyp048.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),"172.22.34.156, fe80::40c6:7d1e:cc88:1606",CTLR0304V.ncsecu.local
ctlr0401v,Powered On,p1pucsgenhyp046.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.22.32.59,CTLR0401V.ncsecu.local
ctlr0402v,Powered On,p1pucsgenhyp001.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.22.32.60,CTLR0402V.ncsecu.local
ctlr0403v,Powered On,p1pucsgenhyp001.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.22.32.61,CTLR0403V.ncsecu.local
ctlr0404v,Powered On,p1pucsgenhyp048.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.22.32.62,CTLR0404V.ncsecu.local
ctlr0701v,Powered On,p1pucsgenhyp001.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),"172.22.33.114, 172.22.33.115",CTLR0701V.ncsecu.local
ctlr0702v,Powered On,p1pucsgenhyp048.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),"172.22.33.116, 172.22.33.117, fe80::5c88:4714:8d57:1a36",CTLR0702V.ncsecu.local
ctlr0703v,Powered On,p1pucsgenhyp048.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),"172.22.33.118, 172.22.33.119, fe80::41f6:20ae:d85a:6458",CTLR0703V.ncsecu.local
ctlr0704v,Powered On,p1pucsgenhyp001.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),"172.22.33.120, 172.22.33.121, fe80::f461:4556:f4d6:443f",CTLR0704V.ncsecu.local
ctlr0711v,Powered On,p1pucsgenhyp045.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.22.33.122,CTLR0711V.ncsecu.local
ctlr0712v,Powered On,p1pucsgenhyp007.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.22.33.123,CTLR0712V.ncsecu.local
ctlr0713v,Powered On,p1pucsgenhyp048.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.22.33.124,CTLR0713V.ncsecu.local
ctlr0714v,Powered On,p1pucsgenhyp048.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.22.33.125,CTLR0714V.ncsecu.local
cvsf1313,Powered On,p2pucsgenhyp023.ncsecu.local,Microsoft Windows Server 2012 (64-bit),172.24.1.27,CVSF1313.ncsecu.local
d0vansbleapp001,Powered On,p2pucsgenhyp025.ncsecu.local,Red Hat Enterprise Linux 7 (64-bit),"172.27.155.141, fe80::250:56ff:feb5:b0ea",d0vansbleapp001
d0vbigfixapp001,Powered On,p2pucsgenhyp030.ncsecu.local,Red Hat Enterprise Linux 7 (64-bit),"172.27.155.33, fe80::76ca:f041:77b2:a1cc",d0vbigfixapp001.ncsecu.dev
d0vdocusnweb001,Powered On,p2pucsgenhyp052.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.27.128.56,d0vdocusnweb001
d0velastiapp001,Powered Off,p2pucsgenhyp041.ncsecu.local,Red Hat Enterprise Linux 7 (64-bit),,d0velastiapp001
d0velastiapp002,Powered Off,p2pucsgenhyp040.ncsecu.local,Red Hat Enterprise Linux 7 (64-bit),,d0velastiapp002
d0velastiapp003,Powered Off,p2pucsgenhyp030.ncsecu.local,Red Hat Enterprise Linux 7 (64-bit),,d0velastiapp003
d0velastiweb001,Powered Off,p2pucsgenhyp049.ncsecu.local,Red Hat Enterprise Linux 7 (64-bit),,d0velastiweb001
d0viamxxxoth001,Powered On,p2pucsgenhyp030.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.27.129.46,d0viamxxxoth001.dev.test
